id;concepto;monto;fecha_inscripcion;fecha_inicio;fecha_pago;estado;alumno_id
1;Pizza Account Savings;65206;2023-05-21;2023-05-20;2023-05-21;PENDIENTE;1
2;Granite Ameliorated;11019;2023-05-21;2023-05-21;2023-05-21;ANULADO;2
3;magenta Licensed;83485;2023-05-21;2023-05-20;2023-05-21;PAGADO;3
4;orchid;89956;2023-05-20;2023-05-21;2023-05-21;ANULADO;4
5;Wooden Loan blue;50602;2023-05-21;2023-05-20;2023-05-21;PENDIENTE;5
6;bus Forks matrix;90826;2023-05-21;2023-05-21;2023-05-21;PAGADO;6
7;Fish Hong infrastructures;16490;2023-05-21;2023-05-21;2023-05-21;PAGADO;7
8;PCI;74516;2023-05-21;2023-05-20;2023-05-21;PAGADO;8
9;Shoes;2594;2023-05-21;2023-05-21;2023-05-21;ANULADO;9
10;Marketing;97379;2023-05-21;2023-05-21;2023-05-21;PAGADO;10
